#{"t_start": 1649942095.82755, "env_id": "PointToPoint-v0"}
r,l,t
-322.772918,2001,7497.106314
-366.759535,2001,7531.028287
-378.141874,2001,7565.173525
-747.519693,2001,7599.506226
-324.348264,2001,7633.502121
-460.715263,2001,7667.305867
-346.586496,2001,7701.236969
-459.052045,2001,7734.93844
-211.881985,2001,7768.971245
-391.650936,2001,7802.847005
-333.318064,2001,7836.962282
-265.613327,2001,7870.936974
-202.029047,2001,7904.948324
-241.255972,2001,7939.242806
-317.540088,2001,7973.378221
-236.43566,2001,8007.519842
-251.796659,2001,8041.657819
-315.195786,2001,8075.801121
-354.076208,2001,8109.909386
-261.219873,2001,8143.997339
-311.404372,2001,8178.166555
-326.870973,2001,8212.411486
-373.548934,2001,8246.660498
-250.219862,2001,8280.854983
-196.966775,2001,8314.682672
-290.37394,2001,8348.878408
-352.086394,2001,8383.045853
-327.255754,2001,8417.233881
-361.036931,2001,8451.670077
-187.453537,2001,8485.891355
-388.021854,2001,8519.987696
-326.405601,2001,8554.320769
-266.21218,2001,8588.666136
-358.020387,2001,8622.701418
-294.087162,2001,8657.157738
-300.237155,2001,8691.345464
-274.794737,2001,8725.743889
-287.995502,2001,8759.916919
-319.473,2001,8793.910992
-283.192064,2001,8827.896129
-361.697371,2001,8862.240948
-309.9511,2001,8896.580629
-280.591768,2001,8930.699954
-371.433114,2001,8964.880834
-309.836792,2001,8998.870409
-279.941664,2001,9032.698629
-355.140956,2001,9066.560413
-279.953433,2001,9100.230803
-282.009943,2001,9134.115388
-372.124463,2001,9168.090796
-424.722753,2001,9202.368433
-300.664479,2001,9236.34461
-283.58661,2001,9270.281495
-345.390134,2001,9304.234743
-236.519898,2001,9338.586571
-234.607539,2001,9372.742385
-274.230591,2001,9406.927698
-239.957348,2001,9441.017194
-420.895162,2001,9475.046799
-343.064141,2001,9509.306369
-515.829364,2001,9543.254221
-228.536095,2001,9577.619293
-1029.428488,2001,9611.807459
-160.954292,2001,9646.088894
-213.008876,2001,9680.28185
-136.627643,2001,9714.513702
-254.717228,2001,9748.69243
-395.893357,2001,9782.874995
-331.871879,2001,9817.024071
-130.513327,2001,9850.917195
-717.302092,2001,9885.01158
-132.300194,2001,9919.16431
-162.763723,2001,9953.358811
-308.967401,2001,9987.524917
-307.287944,2001,10021.61366
-292.546231,2001,10055.56245
-238.079729,2001,10089.743939
-848.051144,2001,10123.706693
-440.077834,2001,10158.199616
-346.858941,2001,10192.867004
-866.305452,2001,10227.015912
-699.378375,2001,10261.306345
-339.054829,2001,10295.464965
-237.596648,2001,10329.536495
-262.287814,2001,10363.54554
-261.31544,2001,10397.5804
-290.287997,2001,10431.733116
-192.840943,2001,10465.830486
-135.437796,2001,10499.715483
-258.428884,2001,10533.91381
-191.709738,2001,10567.844765
